s2_caption,image_uri,tokenized_caption
uld ct false negative example 47yo male with 15 years of asbestos exposure subtle posterior basal interstitial abnormalities related to early asbestosis are visible in the standard acquisition adlp of 201mgycm but indiscernible on the uld ct bdlp of 19mgycm,780d51420ad492a61d00295adb6919bd492e6bd3_8-Figure3-1.png,"['uld', 'ct', 'false', 'negative', 'example', '47yo', 'male', 'with', '15', 'years', 'of', 'asbestos', 'exposure', 'subtle', 'posterior', 'basal', 'interstitial', 'abnormalities', 'related', 'to', 'early', 'asbestosis', 'are', 'visible', 'in', 'the', 'standard', 'acquisition', 'adlp', 'of', '201mgycm', 'but', 'indiscernible', 'on', 'the', 'uld', 'ct', 'bdlp', 'of', '19mgycm']"
pkgii reverses the apoptosisreducing effect of egf tunel staining was performed according to the manufacturers instructions of an in situ cell death detection kit cells with dark brown nuclear staining were taken as apoptotic cells and counted as described in materials and methods ac representative images of tunel staining a cells were infected with padlacz only b cells were infected with padlacz and inbuted with egf 100 ng ml for 5 min c cells were infected with padpkgii incubated with 250 m 8pcptcgmp for 1 h and then incubated with 100 ngml egf for 5 min d the number of apoptotic cells per x200 field the results represent mean  sd p001 compared with the padlaczegf group the results showed that egf treatment obviously decreased the apoptosis of mcf7 cells while pretreatment with 250 m 8pcptcgmp efficiently reversed the effect of egf,4fd909ba5e5ee6d90fae6967acd2f54cc9f8b4bf_4-Figure7-1.png,"['pkgii', 'reverses', 'the', 'apoptosisreducing', 'effect', 'of', 'egf', 'tunel', 'staining', 'was', 'performed', 'according', 'to', 'the', 'manufacturers', 'instructions', 'of', 'an', 'in', 'situ', 'cell', 'death', 'detection', 'kit', 'cells', 'with', 'dark', 'brown', 'nuclear', 'staining', 'were', 'taken', 'as', 'apoptotic', 'cells', 'and', 'counted', 'as', 'described', 'in', 'materials', 'and', 'methods', 'ac', 'representative', 'images', 'of', 'tunel', 'staining', 'a', 'cells', 'were', 'infected', 'with', 'padlacz', 'only', 'b', 'cells', 'were', 'infected', 'with', 'padlacz', 'and', 'inbuted', 'with', 'egf', '100', 'ng', 'ml', 'for', '5', 'min', 'c', 'cells', 'were', 'infected', 'with', 'padpkgii', 'incubated', 'with', '250', 'm', '8pcptcgmp', 'for', '1', 'h', 'and', 'then', 'incubated', 'with', '100', 'ngml', 'egf', 'for', '5', 'min', 'd', 'the', 'number', 'of', 'apoptotic', 'cells', 'per', 'x200', 'field', 'the', 'results', 'represent', 'mean', 'sd', 'p001', 'compared', 'with', 'the', 'padlaczegf', 'group', 'the', 'results', 'showed', 'that', 'egf', 'treatment', 'obviously', 'decreased', 'the', 'apoptosis', 'of', 'mcf7', 'cells', 'while', 'pretreatment', 'with', '250', 'm', '8pcptcgmp', 'efficiently', 'reversed', 'the', 'effect', 'of', 'egf']"
erect posteroanterior chest radiograph showing lung fields after chest drain removal there is no pneumothorax present however there is some persistent atelectasis in the right lung the left lung is clear,2b67d96df5488d5c3320f1626ba098c1b10b5a17_1-Figure2-1.png,"['erect', 'posteroanterior', 'chest', 'radiograph', 'showing', 'lung', 'fields', 'after', 'chest', 'drain', 'removal', 'there', 'is', 'no', 'pneumothorax', 'present', 'however', 'there', 'is', 'some', 'persistent', 'atelectasis', 'in', 'the', 'right', 'lung', 'the', 'left', 'lung', 'is', 'clear']"
a 48yearold patient with idc in the left breast a b early phase 18ffdg pet and fusion petct cd delayed phase pet and fusion petct show no significant fdg uptake in the nac of the left breast arrow nacsuvrearly  095 nacsuvrdelay  092 e contrastenhanced mri with axial view and f mri with sagittal view mri reveals no definite evidence of abnormal contrast enhancement of the nac in the left breast arrowhead this patient underwent breast conserving surgery and pathologic nac noninvolvement was confirmed,11357dcc40909413166afbddffe7b6b2f2e3309b_8-Figure2-1.png,"['a', '48yearold', 'patient', 'with', 'idc', 'in', 'the', 'left', 'breast', 'a', 'b', 'early', 'phase', '18ffdg', 'pet', 'and', 'fusion', 'petct', 'cd', 'delayed', 'phase', 'pet', 'and', 'fusion', 'petct', 'show', 'no', 'significant', 'fdg', 'uptake', 'in', 'the', 'nac', 'of', 'the', 'left', 'breast', 'arrow', 'nacsuvrearly', '095', 'nacsuvrdelay', '092', 'e', 'contrastenhanced', 'mri', 'with', 'axial', 'view', 'and', 'f', 'mri', 'with', 'sagittal', 'view', 'mri', 'reveals', 'no', 'definite', 'evidence', 'of', 'abnormal', 'contrast', 'enhancement', 'of', 'the', 'nac', 'in', 'the', 'left', 'breast', 'arrowhead', 'this', 'patient', 'underwent', 'breast', 'conserving', 'surgery', 'and', 'pathologic', 'nac', 'noninvolvement', 'was', 'confirmed']"
125isct binding assay a b c and d light photomicrographs of mnc from 6day cultures treated with pth 100 ngml a and c are brightfield images silver grains appear as black spots and b and d are darkfield images silver grains appear as white spots to demonstrate the specificity of 125isct binding some cultures were treated with excess cold salmon ct 1027 m c and d a and b demonstrate specific localization of silver grains on mnc after radiolabeled sct binding original magnification 2003,ba5b8e81fb34a0c30922cdcc04f7bef567330e39_2-Figure1-1.png,"['125isct', 'binding', 'assay', 'a', 'b', 'c', 'and', 'd', 'light', 'photomicrographs', 'of', 'mnc', 'from', '6day', 'cultures', 'treated', 'with', 'pth', '100', 'ngml', 'a', 'and', 'c', 'are', 'brightfield', 'images', 'silver', 'grains', 'appear', 'as', 'black', 'spots', 'and', 'b', 'and', 'd', 'are', 'darkfield', 'images', 'silver', 'grains', 'appear', 'as', 'white', 'spots', 'to', 'demonstrate', 'the', 'specificity', 'of', '125isct', 'binding', 'some', 'cultures', 'were', 'treated', 'with', 'excess', 'cold', 'salmon', 'ct', '1027', 'm', 'c', 'and', 'd', 'a', 'and', 'b', 'demonstrate', 'specific', 'localization', 'of', 'silver', 'grains', 'on', 'mnc', 'after', 'radiolabeled', 'sct', 'binding', 'original', 'magnification', '2003']"
chest radiograph that was carried out a at another hospital eight months previously and b at the time of admission chest computed tomography revealed two separated tumors c a 4cm mass adjacent to inner side of the shaft of the 6th rib and d an 8cm mass located at the costophrenic angle,ee752c4d1b580145280d26592dee4d591300fcf5_2-Figure1-1.png,"['chest', 'radiograph', 'that', 'was', 'carried', 'out', 'a', 'at', 'another', 'hospital', 'eight', 'months', 'previously', 'and', 'b', 'at', 'the', 'time', 'of', 'admission', 'chest', 'computed', 'tomography', 'revealed', 'two', 'separated', 'tumors', 'c', 'a', '4cm', 'mass', 'adjacent', 'to', 'inner', 'side', 'of', 'the', 'shaft', 'of', 'the', '6th', 'rib', 'and', 'd', 'an', '8cm', 'mass', 'located', 'at', 'the', 'costophrenic', 'angle']"
the spm results of children with dmd versus adult control comparisons the maps are superimposed on representative axial mr images in standardized space red and yellow areas in the right sensorimotor a and b and lateral temporal regions c and d as well as in the bilateral medial temporal structures eg and cerebellum h represent significant p 005 decreases of tracer activity in the dmd group the left side of the images is the right side of the brain,24235a2e81fbb062b1ad2d169185d3858332faf9_5-Figure2-1.png,"['the', 'spm', 'results', 'of', 'children', 'with', 'dmd', 'versus', 'adult', 'control', 'comparisons', 'the', 'maps', 'are', 'superimposed', 'on', 'representative', 'axial', 'mr', 'images', 'in', 'standardized', 'space', 'red', 'and', 'yellow', 'areas', 'in', 'the', 'right', 'sensorimotor', 'a', 'and', 'b', 'and', 'lateral', 'temporal', 'regions', 'c', 'and', 'd', 'as', 'well', 'as', 'in', 'the', 'bilateral', 'medial', 'temporal', 'structures', 'eg', 'and', 'cerebellum', 'h', 'represent', 'significant', 'p', '005', 'decreases', 'of', 'tracer', 'activity', 'in', 'the', 'dmd', 'group', 'the', 'left', 'side', 'of', 'the', 'images', 'is', 'the', 'right', 'side', 'of', 'the', 'brain']"
skull xray demonstrating absence of upper incisor teeth arrow,dcbfd9fab8d4075e5b9db4871b8c4e7b09dc55f0_2-Figure2-1.png,"['skull', 'xray', 'demonstrating', 'absence', 'of', 'upper', 'incisor', 'teeth', 'arrow']"
computed tomography showing pleural effusion yellow arrow and a mass in the abdominal wall red arrow,372fb608834f67a7b516fa1841975ab638261171_2-Figure1-1.png,"['computed', 'tomography', 'showing', 'pleural', 'effusion', 'yellow', 'arrow', 'and', 'a', 'mass', 'in', 'the', 'abdominal', 'wall', 'red', 'arrow']"
computed tomography scan at admission a b detection of the fistulous tract arrows between the sigmoid colon and the cecum,00bca1a68e08189c05cd2a1d0d6e23832303b475_2-Figure1-1.png,"['computed', 'tomography', 'scan', 'at', 'admission', 'a', 'b', 'detection', 'of', 'the', 'fistulous', 'tract', 'arrows', 'between', 'the', 'sigmoid', 'colon', 'and', 'the', 'cecum']"
